Time,Time Code,Country Name,Country Code,Net migration [SM.POP.NETM],"Population, total [SP.POP.TOTL]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
2007,YR2007,Syrian Arab Republic,SYR,370000,19878257,1570.897723,74.152,..
2007,YR2007,Tajikistan,TJK,-145788,7062667,699.29457,67.382,..
2007,YR2007,Tanzania,TZA,-500853,40681416,744.5248413,55.926,..
2007,YR2007,Thailand,THA,59008,66182064,4826.871477,72.916,..
2007,YR2007,Timor-Leste,TLS,-38074,1036388,932.6149467,65.61,..
2007,YR2007,Togo,TGO,-10598,5920360,449.8269181,55.581,..
2007,YR2007,Tonga,TON,-7761,102577,3816.764995,69.878,..
2007,YR2007,Trinidad and Tobago,TTO,-18605,1308450,18076.32044,71.21,..
2007,YR2007,Tunisia,TUN,-40641,10304729,3690.587663,74.558,..
2007,YR2007,Turkiye,TUR,-50000,69581854,8483.966136,73.235,..
2007,YR2007,Turkmenistan,TKM,-62717,4870142,3353.144774,65.695,..
2007,YR2007,Turks and Caicos Islands,TCA,..,30383,..,..,..
2007,YR2007,Tuvalu,TUV,..,10219,3058.536317,..,..
2007,YR2007,Uganda,UGA,-500000,29486335,688.4214508,53.887,..
2007,YR2007,Ukraine,UKR,269541,46509355,2528.081055,68.22219512,..
2007,YR2007,United Arab Emirates,ARE,3592436,6168846,45388.66728,75.767,..
2007,YR2007,United Kingdom,GBR,2189404,61322463,44576.36766,79.44878049,..
2007,YR2007,United States,USA,5428756,301231207,54299.61724,77.98780488,..
2007,YR2007,Uruguay,URY,-50000,3331753,11245.21946,76.251,..
2007,YR2007,Uzbekistan,UZB,-140130,26868000,1787.490213,68.939,..
2007,YR2007,Vanuatu,VUT,-3275,219464,2789.798616,68.672,..
2007,YR2007,"Venezuela, RB",VEN,-200220,27247601,..,73.01,..
2007,YR2007,Vietnam,VNM,-799969,85419588,1751.708028,74.474,..
2007,YR2007,Virgin Islands (U.S.),VIR,-6267,108337,49598.12591,76.86341463,..
2007,YR2007,West Bank and Gaza,PSE,-103670,3494496,2569.984341,72.366,..
2007,YR2007,"Yemen, Rep.",YEM,-65768,21282514,2554.616525,64.47,..
2007,YR2007,Zambia,ZMB,-175000,12502958,1018.119681,51.134,..
2007,YR2007,Zimbabwe,ZWE,-512676,12255920,1042.355344,44.947,..
2012,YR2012,Afghanistan,AFG,521769,31161378,557.9496921,62.054,..
2012,YR2012,Albania,ALB,-136590,2900401,3736.339101,77.252,..
2012,YR2012,Algeria,DZA,-143268,37383899,4012.361506,75.436,..
2012,YR2012,American Samoa,ASM,..,55669,11812.45911,..,..
2012,YR2012,Andorra,AND,..,82427,33750.19085,..,..
2012,YR2012,Angola,AGO,166267,25107925,3128.324715,57.236,..
2012,YR2012,Antigua and Barbuda,ATG,943,90407,13802.70749,76.087,..
2012,YR2012,Argentina,ARG,30000,41733271,13895.63371,75.598,..
2012,YR2012,Armenia,ARM,-30535,2884239,3312.980008,73.82,..
2012,YR2012,Aruba,ABW,1253,102565,26221.25955,75.299,..
2012,YR2012,Australia,AUS,989375,22733465,55254.60621,82.04634146,..
2012,YR2012,Austria,AUT,267172,8429991,44549.8817,80.93658537,..
2012,YR2012,Azerbaijan,AZE,8499,9295784,5194.73839,71.506,..
2012,YR2012,"Bahamas, The",BHS,4999,363581,32652.20814,72.424,..
2012,YR2012,Bahrain,BHR,42000,1299942,21187.54188,76.342,..
2012,YR2012,Bangladesh,BGD,-2306839,151005733,1078.287546,70.606,..
2012,YR2012,Barbados,BRB,-397,283698,16505.18528,78.547,..
2012,YR2012,Belarus,BLR,72123,9446836,6047.871129,71.96585366,..
2012,YR2012,Belgium,BEL,258672,11106932,39975.57364,80.38536585,..
2012,YR2012,Belize,BLZ,7594,338001,4733.54671,73.044,..
2012,YR2012,Benin,BEN,-42268,9729254,1008.766303,59.842,..
2012,YR2012,Bermuda,BMU,..,64798,106119.795,81.67780488,..
2012,YR2012,Bhutan,BTN,300,701582,2479.151723,69.263,..
2012,YR2012,Bolivia,BOL,-57620,10377677,2692.607497,69.01,..
2012,YR2012,Bosnia and Herzegovina,BIH,-258529,3604972,4215.619885,76.401,..
2012,YR2012,Botswana,BWA,-73138,2039551,6089.399108,63.511,..
2012,YR2012,Brazil,BRA,15924,199287292,9056.580438,74.209,..
2012,YR2012,British Virgin Islands,VGB,..,28654,..,..,..
2012,YR2012,Brunei Darussalam,BRN,-901,398997,34096.90756,74.962,..
2012,YR2012,Bulgaria,BGR,-24472,7305888,6693.612364,74.31463415,..
2012,YR2012,Burkina Faso,BFA,-125000,16571252,622.5197112,58.374,..
2012,YR2012,Burundi,BDI,-70001,9245992,319.3982857,58.568,..
2012,YR2012,Cabo Verde,CPV,-8029,505241,3085.191746,71.445,..
2012,YR2012,Cambodia,KHM,-149999,14780454,992.5498342,67.48,..
2012,YR2012,Cameroon,CMR,-36000,21485267,1278.164384,56.073,..
2012,YR2012,Canada,CAN,1241416,34714222,42315.80739,81.64878049,..
2012,YR2012,Cayman Islands,CYM,..,58963,74688.8864,..,..
2012,YR2012,Central African Republic,CAF,-396129,4436411,575.5018888,48.638,..
2012,YR2012,Chad,TCD,100000,12784748,737.6126079,51.928,..
2012,YR2012,Channel Islands,CHI,3570,162051,..,81.883,..
2012,YR2012,Chile,CHL,163730,17400359,12973.23832,79.176,..
2012,YR2012,China,CHN,-1552209,1354190000,6591.650851,75.013,..
2012,YR2012,Colombia,COL,-193380,46075721,5631.21737,75.882,..
2012,YR2012,Comoros,COM,-10000,723865,1236.938944,62.595,..
